10.101.4.34 - - "2015-04-06 09:30:20" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
180.76.5.223 bot - "2015-04-06 09:47:16" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
177.133.137.130 - - "2015-04-06 09:57:21" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"
180.76.6.46 bot - "2015-04-06 10:28:09" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.6.213 bot - "2015-04-06 11:26:38" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
201.28.177.90 administrative 53 "2015-04-06 11:32:04" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:32:19" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:32:44" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/19/16 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:36:12" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/19/16 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:36:59" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:37:25" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:37:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:37:41" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/download/RIES%20v.2n.1/2 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:45:25" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:45:35" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:45:57" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20v.2n.1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
201.28.177.90 administrative 53 "2015-04-06 11:46:03" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0"
