66.249.73.238 bot - "2017-01-14 06:14:54" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.235 bot - "2017-01-14 06:15:33" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/11/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.239 bot - "2017-01-14 06:16:07" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.171 bot - "2017-01-14 06:21:12" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/11/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.10 bot - "2017-01-14 06:23:46" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.177 bot - "2017-01-14 06:23:51" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/6/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.242 bot - "2017-01-14 06:27:56" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.236 bot - "2017-01-14 06:29:12" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.238 bot - "2017-01-14 06:29:14" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.239 bot - "2017-01-14 06:31:30" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.14 bot - "2017-01-14 06:32:06" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/34/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.242 bot - "2017-01-14 06:32:24" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/16/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.174 bot - "2017-01-14 06:32:27" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.171 bot - "2017-01-14 06:35:25" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/10/26 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.242 bot - "2017-01-14 06:37:03" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.239 bot - "2017-01-14 06:37:27" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/146 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
163.172.64.236 bot - "2017-01-14 07:40:24" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.65.174 bot - "2017-01-14 08:23:45" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.177 bot - "2017-01-14 09:09:09" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
163.172.65.10 bot - "2017-01-14 12:29:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/download/v3%20n1%20%28jan-jun%29%202015/3 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
187.41.166.7 - - "2017-01-14 12:44:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
180.76.15.14 bot - "2017-01-14 13:01:53" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.65.236 bot - "2017-01-14 13:26:42" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.158 bot - "2017-01-14 13:46:12" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/download/RIES%20v.2n.1/2 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.65.171 bot - "2017-01-14 13:49:37" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.174 bot - "2017-01-14 14:02:42" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.11 bot - "2017-01-14 15:14:33" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.65.242 bot - "2017-01-14 15:17:14" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/50/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.6 bot - "2017-01-14 15:31:23" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.239 bot - "2017-01-14 15:44:27" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/19/16 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.241 bot - "2017-01-14 15:46:28" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.241 bot - "2017-01-14 15:47:59" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/5/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.235 bot - "2017-01-14 15:49:06" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.241 bot - "2017-01-14 16:09:52" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/149/23 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.171 bot - "2017-01-14 16:31:31" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.177 bot - "2017-01-14 16:33:54" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
179.34.130.102 - - "2017-01-14 16:35:05" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Linux; Android 4.4.4; SM-T560 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36"
66.249.65.239 bot - "2017-01-14 16:36:01" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.6 bot - "2017-01-14 16:43:32" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
179.34.130.102 - - "2017-01-14 16:49:19" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (Linux; Android 4.4.4; SM-T560 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36"
66.249.65.171 bot - "2017-01-14 16:51:24" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
104.209.188.207 - - "2017-01-14 16:52:11" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) SkypeUriPreview Preview/0.5"
40.78.146.128 - - "2017-01-14 16:52:11" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) SkypeUriPreview Preview/0.5"
187.113.132.163 - - "2017-01-14 16:52:17" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
66.249.65.236 bot - "2017-01-14 16:55:25" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.238 bot - "2017-01-14 16:58:33" http://projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.177 bot - "2017-01-14 17:02:23" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.14 bot - "2017-01-14 17:25:19" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/14/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.242 bot - "2017-01-14 17:26:22" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.174 bot - "2017-01-14 17:34:05" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/38 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
