93.186.202.241 - - "2015-02-01 02:10:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/3 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
188.165.15.198 bot - "2015-02-01 02:45:37" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/16 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
188.165.15.50 bot - "2015-02-01 03:28:23" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/7 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.79.137 bot - "2015-02-01 04:37:41" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.5.18 bot - "2015-02-01 05:02:26" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
144.76.185.173 - - "2015-02-01 05:43:12" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/7 200 "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.16) Gecko/20120421 Gecko Firefox/11.0"
144.76.201.69 - - "2015-02-01 05:43:12" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/7 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
66.249.79.151 bot - "2015-02-01 06:49:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.81 bot - "2015-02-01 07:59:23" http://projuriscursos.com.br/revista/index.php/revista-projuris/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.143 bot - "2015-02-01 08:07:04" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
198.27.82.146 bot - "2015-02-01 08:17:58" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/1 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
198.27.82.146 bot - "2015-02-01 08:18:01" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
198.27.82.146 bot - "2015-02-01 08:18:06" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/14 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
