177.69.39.224 - - "2016-07-08 12:04:07" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/56/24 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
157.55.39.105 bot - "2016-07-08 12:10:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/50 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.65.59 bot - "2016-07-08 12:21:27" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.53 bot - "2016-07-08 12:33:03" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/6 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.56 bot - "2016-07-08 12:40:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/151 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.49 bot - "2016-07-08 13:42:45" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.56 bot - "2016-07-08 13:51:32" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.49 bot - "2016-07-08 14:10:43" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
151.80.31.183 bot - "2016-07-08 14:16:21" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/59 200 "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
66.249.65.59 bot - "2016-07-08 14:26:42" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/38 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.46 bot - "2016-07-08 14:29:40" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.53 bot - "2016-07-08 14:30:28" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.14 bot - "2016-07-08 14:31:41" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/146 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.108 bot - "2016-07-08 14:47:24" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.108 bot - "2016-07-08 14:51:44" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
138.185.171.157 - - "2016-07-08 14:52:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
66.249.65.56 bot - "2016-07-08 15:03:51" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.46 bot - "2016-07-08 15:04:08" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.10 bot - "2016-07-08 15:12:49" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.53 bot - "2016-07-08 15:15:37" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.53 bot - "2016-07-08 15:17:00" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.14 bot - "2016-07-08 15:21:07" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.56 bot - "2016-07-08 15:21:18" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
189.107.138.219 - - "2016-07-08 15:21:39" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
151.80.31.166 bot - "2016-07-08 15:22:27" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/38 200 "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
66.249.65.49 bot - "2016-07-08 15:25:25" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.6 bot - "2016-07-08 15:26:06" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.43 bot - "2016-07-08 15:34:04" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.46 bot - "2016-07-08 15:34:41" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.108 bot - "2016-07-08 15:40:59" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
187.5.112.67 - - "2016-07-08 15:42:43" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
66.249.65.10 bot - "2016-07-08 15:43:45" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.14 bot - "2016-07-08 15:46:30" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/149/23 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.56 bot - "2016-07-08 15:48:42" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.56 bot - "2016-07-08 15:50:13" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.6 bot - "2016-07-08 15:58:44" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
