66.249.65.111 bot - "2016-03-22 04:26:54" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.142 bot - "2016-03-22 04:29:14" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.160 bot - "2016-03-22 04:32:18" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.142 bot - "2016-03-22 04:39:29" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/151/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.142 bot - "2016-03-22 04:40:09" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.183 bot - "2016-03-22 04:46:14" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/21/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.108 bot - "2016-03-22 04:49:17" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/146 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.151 bot - "2016-03-22 04:54:21" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.196 bot - "2016-03-22 04:54:33" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.183 bot - "2016-03-22 04:57:30" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.53 bot - "2016-03-22 04:57:30" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/59/33 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.204 bot - "2016-03-22 06:33:39" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/17/11 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
207.46.13.130 bot - "2016-03-22 08:20:50" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/17 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.53 bot - "2016-03-22 08:37:45" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/2/3 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
187.20.251.165 - - "2016-03-22 08:52:10" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/56 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36"
201.17.136.58 - - "2016-03-22 08:59:25" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36"
127.0.0.1 - - "2016-03-22 09:12:25" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
127.0.0.1 - - "2016-03-22 09:12:50" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
178.255.215.64 bot - "2016-03-22 09:26:29" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20n%C2%BA%201 200 "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)"
187.20.251.165 - - "2016-03-22 09:27:20" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/56 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36"
164.132.161.13 bot - "2016-03-22 09:48:18" http://projuriscursos.com.br/revista/index.php/revista-projuris/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
200.140.119.84 - - "2016-03-22 10:06:13" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
177.101.76.148 - - "2016-03-22 10:07:41" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
177.101.76.148 - - "2016-03-22 10:07:48" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/30/17 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
187.56.64.161 - - "2016-03-22 10:19:17" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/20/25 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36"
168.0.103.151 - - "2016-03-22 11:22:09" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/6/6 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36"
157.55.39.13 bot - "2016-03-22 11:34:17" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/18 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
180.76.15.27 bot - "2016-03-22 11:38:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
164.132.161.10 bot - "2016-03-22 11:42:10" http://projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
189.9.20.48 - - "2016-03-22 11:59:58" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36"
191.37.63.58 - - "2016-03-22 12:02:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36"
207.46.13.130 bot - "2016-03-22 12:46:33" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
164.132.161.89 bot - "2016-03-22 13:40:48" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/35 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.73.204 bot - "2016-03-22 14:03:48" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.204 bot - "2016-03-22 14:18:17" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/34 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.108 bot - "2016-03-22 14:21:31" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.142 bot - "2016-03-22 14:29:13" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.196 bot - "2016-03-22 14:33:24" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.59 bot - "2016-03-22 14:36:53" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
151.80.31.107 bot - "2016-03-22 14:44:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
40.77.167.69 bot - "2016-03-22 14:46:34" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.73.151 bot - "2016-03-22 14:55:54" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/20/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.53 bot - "2016-03-22 15:01:17" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
