66.249.65.224 bot - "2015-10-02 04:57:58" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 04:58:26" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 05:04:08" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/34 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.202 bot - "2015-10-02 05:04:39" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 05:06:44" http://projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 05:07:33" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.195 bot - "2015-10-02 05:07:39" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 05:12:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 05:16:22" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/59 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 05:17:46" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 05:21:40" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/50 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 05:21:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/59 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 05:26:24" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 05:27:58" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 05:33:46" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 05:40:36" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 05:44:05" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.195 bot - "2015-10-02 05:46:23" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/146 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.145 bot - "2015-10-02 05:50:00" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/59 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 05:50:12" http://projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 05:53:54" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
